Timestamp,RPS,Namespace,Category,Service,Pod,Node,CPU_Total(m),CPU_App(m),CPU_Sidecar(m),Memory_WorkingSet(Mi),Memory_RSS(Mi),Net_RX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),System_Mem_BW,System_LLC_Metric,Istio_Enabled
2025-12-31 17:35:02,200,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,1,1,0,24,0,32.19,146.78,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,rate,rate-84ff866845-lqd9g,minikube,1675,1675,0,31,0,15692.04,6846.95,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,25,25,0,73,0,0.0,0.0,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,7,7,0,28,0,0.0,0.0,0.0,0.0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,mongodb-rate,mongodb-rate-ccb697f86-5r6q9,minikube,6,6,0,166,0,0.15,0.19,0.0,3.04,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,mongodb-profile,mongodb-profile-5d49d6d457-hbbrv,minikube,6,6,0,161,0,0.09,0.12,0.0,2.14,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,reservation,reservation-66b9b65588-wwr5s,minikube,3942,3942,0,43,0,6743.56,9483.3,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,mongodb-user,mongodb-user-5dbfd89f79-gjwcd,minikube,6,6,0,163,0,0.05,0.09,0.0,3.3,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,memcached-rate,memcached-rate-7676fcd874-6qklm,minikube,16,16,0,11,0,10.24,15653.08,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,memcached-profile,memcached-profile-9cc587848-njkfv,minikube,14,14,0,4,0,8.94,240.77,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,user,user-55b688b99b-gzzj6,minikube,1,1,0,7,0,0.49,0.27,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,profile,profile-9cfb76d57-7tg2c,minikube,130,130,0,10,0,268.05,187.91,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,mongodb-geo,mongodb-geo-57c6c55bcf-cpztk,minikube,6,6,0,160,0,0.05,0.09,0.0,2.62,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,mongodb-reservation,mongodb-reservation-5fb9856d95-xkshv,minikube,86,86,0,180,0,0.98,12.14,0.0,5.13,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,etcd,etcd-minikube,minikube,38,38,0,224,0,0.0,0.0,0.0,26.03,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,search,search-85b4574769-zpqp2,minikube,617,617,0,17,0,6670.47,358.24,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,memcached-reserve,memcached-reserve-5cf8487dcb-c8ggq,minikube,450,450,0,357,0,9293.16,6287.92,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,consul,consul-dddf9fd9d-4dl8s,minikube,21,21,0,32,0,0.06,0.1,0.0,0.0,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,storage,storage-provisioner,minikube,2,2,0,13,0,0.0,0.0,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,frontend,frontend-7f5668774d-r4742,minikube,348,348,0,22,0,535.76,480.33,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,recommendation,recommendation-7cd9547987-rn26f,minikube,33,33,0,8,0,11.85,10.38,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,25,0,0.0,0.0,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,14,14,0,34,0,0.0,0.0,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,jaeger,jaeger-b6848cc9d-smddk,minikube,5,5,0,112,0,2.26,0.0,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,mongodb-recommendation,mongodb-recommendation-8cf65998c-6skxr,minikube,6,6,0,159,0,0.05,0.09,0.0,2.5,1.78,0.4981,False
2025-12-31 17:35:02,200,default,application,geo,geo-59dfcb8495-672cd,minikube,62,62,0,9,0,16.73,15.25,0,0,1.78,0.4981,False
2025-12-31 17:35:02,200,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,131,131,0,521,0,0.0,0.0,0,0,1.78,0.4981,False
2025-12-31 17:37:23,400,default,application,mongodb-profile,mongodb-profile-5d49d6d457-hbbrv,minikube,6,6,0,161,0,0.09,0.13,0.0,2.34,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,recommendation,recommendation-7cd9547987-rn26f,minikube,47,47,0,8,0,21.52,18.29,0,0,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,profile,profile-9cfb76d57-7tg2c,minikube,153,153,0,10,0,343.43,245.37,0,0,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,mongodb-rate,mongodb-rate-ccb697f86-5r6q9,minikube,6,6,0,166,0,0.16,0.2,0.0,3.29,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,geo,geo-59dfcb8495-672cd,minikube,89,89,0,8,0,29.85,26.34,0,0,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,mongodb-recommendation,mongodb-recommendation-8cf65998c-6skxr,minikube,6,6,0,159,0,0.05,0.09,0.0,2.32,4.29,0.4903,False
2025-12-31 17:37:23,400,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,106,106,0,537,0,0.0,0.0,0,0,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,memcached-reserve,memcached-reserve-5cf8487dcb-c8ggq,minikube,872,872,0,357,0,19634.63,22557.46,0,0,4.29,0.4903,False
2025-12-31 17:37:23,400,default,application,memcached-rate,memcached-rate-7676fcd874-6qklm,minikube,27,27,0,11,0,18.58,31953.02,0,0,4.29,0.4903,False
