,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
RPS,Service,,,,,,,,,,,,,,,,
200,consul,21.0,,32.0,,0.06,,0.1,,0.0,,0.0,,1.78,,0.5,
200,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,1.78,,0.5,
200,etcd,38.0,,224.0,,0.0,,0.0,,0.0,,26.03,,1.78,,0.5,
200,frontend,348.0,,22.0,,535.76,,480.33,,0.0,,0.0,,1.78,,0.5,
200,geo,62.0,,9.0,,16.73,,15.25,,0.0,,0.0,,1.78,,0.5,
200,jaeger,5.0,,112.0,,2.26,,0.0,,0.0,,0.0,,1.78,,0.5,
200,kube,48.67,71.6,193.0,284.1,10.73,18.58,48.93,84.74,0.0,0.0,0.0,0.0,1.78,0.0,0.5,0.0
200,kube-controller,25.0,,73.0,,0.0,,0.0,,0.0,,0.0,,1.78,,0.5,
200,memcached-profile,14.0,,4.0,,8.94,,240.77,,0.0,,0.0,,1.78,,0.5,
200,memcached-rate,16.0,,11.0,,10.24,,15653.08,,0.0,,0.0,,1.78,,0.5,
200,memcached-reserve,450.0,,357.0,,9293.16,,6287.92,,0.0,,0.0,,1.78,,0.5,
200,metrics-server,7.0,,28.0,,0.0,,0.0,,0.0,,0.0,,1.78,,0.5,
200,mongodb-geo,6.0,,160.0,,0.05,,0.09,,0.0,,2.62,,1.78,,0.5,
200,mongodb-profile,6.0,,161.0,,0.09,,0.12,,0.0,,2.14,,1.78,,0.5,
200,mongodb-rate,6.0,,166.0,,0.15,,0.19,,0.0,,3.04,,1.78,,0.5,
