,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
RPS,Service,,,,,,,,,,,,,,,,
200,consul,25.0,,76.0,,0.09,,0.1,,0.0,,0.0,,2.56,,0.53,
200,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,2.56,,0.53,
200,etcd,47.0,,259.0,,0.0,,0.0,,0.0,,26.48,,2.56,,0.53,
200,frontend,455.0,,75.0,,581.26,,540.8,,0.0,,0.0,,2.56,,0.53,
200,geo,118.0,,50.0,,12.45,,10.15,,0.0,,0.0,,2.56,,0.53,
200,istio-ingressgateway,6.0,,36.0,,0.26,,0.24,,0.0,,0.0,,2.56,,0.53,
200,istiod,4.0,,92.0,,1.62,,1.15,,0.0,,0.0,,2.56,,0.53,
200,jaeger,15.0,,117.0,,2.2,,0.04,,0.0,,0.0,,2.56,,0.53,
200,kube,44.0,63.55,256.0,390.6,9.5,16.45,44.2,76.56,0.0,0.0,0.0,0.0,2.56,0.0,0.53,0.0
200,kube-controller,26.0,,80.0,,0.0,,0.0,,0.0,,0.0,,2.56,,0.53,
200,memcached-profile,31.0,,46.0,,9.92,,223.98,,0.0,,0.0,,2.56,,0.53,
200,memcached-rate,72.0,,61.0,,65.26,,18552.43,,0.0,,0.0,,2.56,,0.53,
200,memcached-reserve,611.0,,311.0,,11145.56,,7571.26,,0.0,,0.0,,2.56,,0.53,
200,metrics-server,5.0,,28.0,,0.0,,0.0,,0.0,,0.0,,2.56,,0.53,
200,mongodb-geo,12.0,,201.0,,0.09,,0.11,,0.0,,3.32,,2.56,,0.53,
