Timestamp,RPS,Namespace,Category,Service,Pod,Node,CPU_Total(m),CPU_App(m),CPU_Sidecar(m),Memory_WorkingSet(Mi),Memory_RSS(Mi),Net_RX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),System_Mem_BW,System_LLC_Metric,Istio_Enabled
2026-01-01 02:44:51,100,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,4,4,0,27,0,0.0,0.0,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,5,5,0,26,0,0.0,0.0,0.0,0.0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,user,user-575bc4b4b7-xvxln,minikube,1,1,0,10,0,0.3,0.15,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,consul,consul-7fbff74bff-zkhbt,minikube,21,21,0,34,0,0.05,0.04,0.0,0.0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,frontend,frontend-7847b56c79-4nz8p,minikube,220,220,0,18,0,344.73,303.78,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,reservation,reservation-5d878f6bc-wtg2v,minikube,2079,2079,0,30,0,2410.81,6092.95,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,kube-system,kubernetes-system,storage,storage-provisioner,minikube,2,2,0,13,0,0.0,0.0,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,rate,rate-8574f7886b-v4dwk,minikube,996,996,0,33,0,9982.51,4353.77,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,14,14,0,35,0,0.0,0.0,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,memcached-profile,memcached-profile-b54575f65-hgtn7,minikube,10,10,0,4,0,4.8,157.11,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,108,108,0,687,0,0.0,0.0,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,1,1,0,27,0,16.28,75.45,0,0,1.21,0.5254,False
2026-01-01 02:44:51,100,default,application,mongodb-geo,mongodb-geo-59fc75f888-zt7n4,minikube,6,6,0,159,0,0.05,0.08,0.0,2.49,1.21,0.5254,False
