,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
RPS,Service,,,,,,,,,,,,,,,,
100,consul,21.0,,34.0,,0.05,,0.04,,0.0,,0.0,,1.21,,0.53,
100,coredns,4.0,,27.0,,0.0,,0.0,,0.0,,0.0,,1.21,,0.53,
100,etcd,38.0,,272.0,,0.0,,0.0,,0.0,,23.9,,1.21,,0.53,
100,frontend,220.0,,18.0,,344.73,,303.78,,0.0,,0.0,,1.21,,0.53,
100,geo,37.0,,8.0,,8.97,,8.12,,0.0,,0.0,,1.21,,0.53,
100,jaeger,4.0,,18.0,,1.15,,0.0,,0.0,,0.0,,1.21,,0.53,
100,kube,41.0,58.39,249.67,378.76,5.43,9.4,25.15,43.56,0.0,0.0,0.0,0.0,1.21,0.0,0.53,0.0
100,kube-controller,26.0,,80.0,,0.0,,0.0,,0.0,,0.0,,1.21,,0.53,
100,memcached-profile,10.0,,4.0,,4.8,,157.11,,0.0,,0.0,,1.21,,0.53,
100,memcached-rate,11.0,,13.0,,7.32,,9700.39,,0.0,,0.0,,1.21,,0.53,
100,memcached-reserve,265.0,,279.0,,5816.71,,2118.45,,0.0,,0.0,,1.21,,0.53,
100,metrics-server,5.0,,26.0,,0.0,,0.0,,0.0,,0.0,,1.21,,0.53,
100,mongodb-geo,6.0,,159.0,,0.05,,0.08,,0.0,,2.49,,1.21,,0.53,
100,mongodb-profile,6.0,,160.0,,0.07,,0.1,,0.0,,2.46,,1.21,,0.53,
100,mongodb-rate,6.0,,165.0,,0.21,,2.97,,0.0,,1.4,,1.21,,0.53,
