Timestamp,RPS,Namespace,Category,Service,Pod,Node,CPU_Total(m),CPU_App(m),CPU_Sidecar(m),Memory_WorkingSet(Mi),Memory_RSS(Mi),Net_RX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),System_Mem_BW,System_LLC_Metric,Istio_Enabled
2026-01-01 02:25:45,100,default,application,profile,profile-6cc9c59678-48sbs,minikube,135,64,71,56,0,144.84,99.79,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,frontend,frontend-77778b9fbc-hgdjw,minikube,284,188,96,74,0,304.21,279.44,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,mongodb-profile,mongodb-profile-544455fc6c-hx6fn,minikube,11,6,5,208,0,0.09,0.12,0.0,3.9,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,reservation,reservation-fb5ffbb4c-qm6c5,minikube,2347,2258,88,107,0,3689.2,5884.89,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,jaeger,jaeger-77f6494d9b-x9gpw,minikube,9,4,4,125,0,1.44,0.04,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,memcached-profile,memcached-profile-86dc8dcd8b-fxm94,minikube,23,8,14,44,0,5.33,132.25,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,mongodb-user,mongodb-user-84b885bc57-fq5tx,minikube,11,6,5,204,0,0.08,0.12,0.0,4.02,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,consul,consul-5979bc48f6-655ln,minikube,25,20,5,74,0,0.08,0.08,0.0,0.0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,rate,rate-9f879b59d-vk89z,minikube,1043,968,75,98,0,9392.41,4091.49,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,13,13,0,35,0,0.0,0.0,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,geo,geo-d6bdc5f56-lbqjc,minikube,71,29,41,53,0,6.84,5.41,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,memcached-reserve,memcached-reserve-566499f6f4-qm6fx,minikube,332,282,50,313,0,5794.73,3441.69,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,memcached-rate,memcached-rate-94b7f984d-nl4rd,minikube,41,9,31,70,0,31.29,9213.92,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,search,search-6b9d7b698-k2dvt,minikube,389,318,71,68,0,3999.87,200.23,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,mongodb-rate,mongodb-rate-66bc4bd476-82c6t,minikube,12,6,5,219,0,0.1,0.13,0.0,5.72,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,27,27,0,80,0,0.0,0.0,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,recommendation,recommendation-dc796fff6-rcfm7,minikube,44,15,29,52,0,4.92,3.5,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,mongodb-reservation,mongodb-reservation-6bc6d64b49-pt5z9,minikube,80,74,5,223,0,0.59,6.47,0.0,9.43,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,0,0,0,25,0,16.39,76.58,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,storage,storage-provisioner,minikube,2,2,0,13,0,0.0,0.0,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,user,user-5d74f8d5b7-8vqhl,minikube,7,1,5,47,0,0.38,0.2,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,104,104,0,718,0,0.0,0.0,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,istio-system,istio-control-plane,istio-ingressgateway,istio-ingressgateway-865c448856-2dvkq,minikube,5,0,5,38,0,0.25,0.24,0.0,0.0,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,4,4,0,28,0,0.0,0.0,0.0,0.0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,mongodb-geo,mongodb-geo-7b5866c4c7-2h9wn,minikube,11,6,5,199,0,0.09,0.12,0.0,3.11,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,etcd,etcd-minikube,minikube,46,46,0,265,0,0.0,0.0,0.0,22.49,1.41,0.5392,True
2026-01-01 02:25:45,100,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,25,0,0.0,0.0,0,0,1.41,0.5392,True
2026-01-01 02:25:45,100,default,application,mongodb-recommendation,mongodb-recommendation-5cf5c9858f-5lvtb,minikube,11,6,5,199,0,0.09,0.12,0.0,2.71,1.41,0.5392,True
2026-01-01 02:25:45,100,istio-system,istio-control-plane,istiod,istiod-86c75775bb-mnps7,minikube,3,3,0,68,0,1.59,1.13,0,0,1.41,0.5392,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,etcd,etcd-minikube,minikube,46,46,0,262,0,0.0,0.0,0.0,26.87,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,mongodb-rate,mongodb-rate-66bc4bd476-82c6t,minikube,12,6,5,219,0,0.08,0.12,0.0,2.67,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,recommendation,recommendation-dc796fff6-rcfm7,minikube,74,26,47,47,0,9.25,7.02,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,mongodb-geo,mongodb-geo-7b5866c4c7-2h9wn,minikube,11,6,5,199,0,0.08,0.11,0.0,2.16,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,mongodb-reservation,mongodb-reservation-6bc6d64b49-pt5z9,minikube,136,130,6,224,0,1.59,18.03,0.0,5.44,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,26,26,0,80,0,0.0,0.0,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,13,13,0,35,0,0.0,0.0,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,1,1,0,25,0,28.37,127.27,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,mongodb-recommendation,mongodb-recommendation-5cf5c9858f-5lvtb,minikube,11,6,5,199,0,0.08,0.11,0.0,2.4,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,search,search-6b9d7b698-k2dvt,minikube,733,621,112,68,0,8248.09,411.29,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,jaeger,jaeger-77f6494d9b-x9gpw,minikube,10,5,4,129,0,2.36,0.04,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,5,5,0,28,0,0.0,0.0,0.0,0.0,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,storage,storage-provisioner,minikube,2,2,0,13,0,0.0,0.0,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,reservation,reservation-fb5ffbb4c-qm6c5,minikube,5001,4845,156,119,0,9063.93,11552.16,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,26,0,0.0,0.0,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,geo,geo-d6bdc5f56-lbqjc,minikube,120,51,68,48,0,12.65,10.34,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,memcached-reserve,memcached-reserve-566499f6f4-qm6fx,minikube,648,554,93,313,0,11536.72,8658.34,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,user,user-5d74f8d5b7-8vqhl,minikube,8,1,6,48,0,0.54,0.27,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,mongodb-user,mongodb-user-84b885bc57-fq5tx,minikube,11,6,5,204,0,0.08,0.12,0.0,1.8,2.63,0.5106,True
2026-01-01 02:28:06,200,istio-system,istio-control-plane,istio-ingressgateway,istio-ingressgateway-865c448856-2dvkq,minikube,5,0,5,36,0,0.25,0.24,0.0,0.0,2.63,0.5106,True
2026-01-01 02:28:06,200,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,115,115,0,722,0,0.0,0.0,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,frontend,frontend-77778b9fbc-hgdjw,minikube,445,298,147,75,0,558.35,524.01,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,profile,profile-6cc9c59678-48sbs,minikube,223,109,113,52,0,236.59,163.69,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,rate,rate-9f879b59d-vk89z,minikube,1976,1846,130,97,0,18201.86,7926.46,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,memcached-rate,memcached-rate-94b7f984d-nl4rd,minikube,73,16,56,64,0,59.99,18056.07,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,memcached-profile,memcached-profile-86dc8dcd8b-fxm94,minikube,31,11,20,44,0,9.65,209.53,0,0,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,mongodb-profile,mongodb-profile-544455fc6c-hx6fn,minikube,11,6,5,202,0,0.08,0.12,0.0,2.59,2.63,0.5106,True
2026-01-01 02:28:06,200,default,application,consul,consul-5979bc48f6-655ln,minikube,24,19,5,74,0,0.07,0.07,0.0,0.0,2.63,0.5106,True
2026-01-01 02:28:06,200,istio-system,istio-control-plane,istiod,istiod-86c75775bb-mnps7,minikube,4,4,0,64,0,1.61,1.18,0,0,2.63,0.5106,True
2026-01-01 02:30:39,300,default,application,search,search-6b9d7b698-k2dvt,minikube,877,736,141,71,0,12054.16,598.47,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,mongodb-geo,mongodb-geo-7b5866c4c7-2h9wn,minikube,12,6,6,205,0,3.89,5.8,0.0,3.67,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,23,0,0.0,0.0,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,storage,storage-provisioner,minikube,2,2,0,13,0,0.0,0.0,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,user,user-5d74f8d5b7-8vqhl,minikube,8,1,6,48,0,0.65,0.33,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,memcached-rate,memcached-rate-94b7f984d-nl4rd,minikube,98,22,76,64,0,78.67,27738.64,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,5,5,0,28,0,0.0,0.0,0.0,0.0,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,1,1,0,26,0,39.67,148.63,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,121,121,0,724,0,0.0,0.0,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,frontend,frontend-77778b9fbc-hgdjw,minikube,524,337,187,85,0,784.63,764.95,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,rate,rate-9f879b59d-vk89z,minikube,2615,2446,169,95,0,27298.03,11911.51,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,etcd,etcd-minikube,minikube,45,45,0,265,0,0.0,0.0,0.0,26.49,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,mongodb-profile,mongodb-profile-544455fc6c-hx6fn,minikube,11,6,5,202,0,0.09,0.12,0.0,3.56,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,geo,geo-d6bdc5f56-lbqjc,minikube,156,68,87,49,0,17.54,14.17,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,memcached-reserve,memcached-reserve-566499f6f4-qm6fx,minikube,933,805,128,314,0,16243.38,17857.17,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,recommendation,recommendation-dc796fff6-rcfm7,minikube,100,36,64,47,0,13.01,9.88,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,istio-system,istio-control-plane,istio-ingressgateway,istio-ingressgateway-865c448856-2dvkq,minikube,5,0,5,36,0,0.25,0.24,0.0,0.0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,mongodb-recommendation,mongodb-recommendation-5cf5c9858f-5lvtb,minikube,11,6,5,199,0,0.09,0.12,0.0,2.37,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,profile,profile-6cc9c59678-48sbs,minikube,273,127,146,52,0,253.53,177.23,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,consul,consul-5979bc48f6-655ln,minikube,23,18,4,74,0,0.07,0.06,0.0,0.0,4.03,0.5222,True
2026-01-01 02:30:39,300,istio-system,istio-control-plane,istiod,istiod-86c75775bb-mnps7,minikube,5,5,0,66,0,13.0,8.82,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,mongodb-rate,mongodb-rate-66bc4bd476-82c6t,minikube,12,6,6,219,0,0.09,0.12,0.0,3.81,4.03,0.5222,True
2026-01-01 02:30:39,300,default,application,jaeger,jaeger-77f6494d9b-x9gpw,minikube,14,10,4,137,0,3.27,0.04,0,0,4.03,0.5222,True
2026-01-01 02:30:39,300,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,26,26,0,80,0,0.0,0.0,0,0,4.03,0.5222,True
