,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s),Disk_Read(KB/s),Disk_Read(KB/s),Disk_Write(KB/s),Disk_Write(KB/s),System_Mem_BW,System_Mem_BW,System_LLC_Metric,System_LLC_Metric
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
RPS,Service,,,,,,,,,,,,,,,,
100,consul,25.0,,74.0,,0.08,,0.08,,0.0,,0.0,,1.41,,0.54,
100,coredns,3.0,,25.0,,0.0,,0.0,,0.0,,0.0,,1.41,,0.54,
100,etcd,46.0,,265.0,,0.0,,0.0,,0.0,,22.49,,1.41,,0.54,
100,frontend,284.0,,74.0,,304.21,,279.44,,0.0,,0.0,,1.41,,0.54,
100,geo,71.0,,53.0,,6.84,,5.41,,0.0,,0.0,,1.41,,0.54,
100,istio-ingressgateway,5.0,,38.0,,0.25,,0.24,,0.0,,0.0,,1.41,,0.54,
100,istiod,3.0,,68.0,,1.59,,1.13,,0.0,,0.0,,1.41,,0.54,
100,jaeger,9.0,,125.0,,1.44,,0.04,,0.0,,0.0,,1.41,,0.54,
100,kube,39.0,56.67,259.33,397.25,5.46,9.46,25.53,44.21,0.0,0.0,0.0,0.0,1.41,0.0,0.54,0.0
100,kube-controller,27.0,,80.0,,0.0,,0.0,,0.0,,0.0,,1.41,,0.54,
100,memcached-profile,23.0,,44.0,,5.33,,132.25,,0.0,,0.0,,1.41,,0.54,
100,memcached-rate,41.0,,70.0,,31.29,,9213.92,,0.0,,0.0,,1.41,,0.54,
100,memcached-reserve,332.0,,313.0,,5794.73,,3441.69,,0.0,,0.0,,1.41,,0.54,
100,metrics-server,4.0,,28.0,,0.0,,0.0,,0.0,,0.0,,1.41,,0.54,
100,mongodb-geo,11.0,,199.0,,0.09,,0.12,,0.0,,3.11,,1.41,,0.54,
