Timestamp,RPS,Namespace,Category,Service,Pod,Node,CPU_Total(m),CPU_App(m),CPU_Sidecar(m),Memory_WorkingSet(Mi),Memory_RSS(Mi),Memory_Delta(Mi),Net_RX(KB/s),Net_TX(KB/s),Istio_Enabled
2025-12-30 15:10:51,200,default,application,mongodb-profile,mongodb-profile-765644d5fc-89m5r,minikube,5,5,0,153,57,0,0.08,0.09,False
2025-12-30 15:10:51,200,default,application,memcached-reserve,memcached-reserve-64fbdcb78d-nzknl,minikube,812,812,0,211,206,0,13456.35,26367.25,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,112,112,0,283,280,5,0.0,0.0,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,etcd-minikube,etcd-minikube,minikube,35,35,0,56,53,0,0.0,0.0,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,4,4,0,19,17,0,0.0,0.0,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,0,0,0,16,14,0,60.41,164.38,False
2025-12-30 15:10:51,200,default,application,mongodb-recommendation,mongodb-recommendation-d6df4b4bc-j9tdz,minikube,5,5,0,152,55,0,0.06,0.08,False
2025-12-30 15:10:51,200,default,application,memcached-profile,memcached-profile-76476968b4-b7f9p,minikube,14,14,0,5,3,0,7.27,80.59,False
2025-12-30 15:10:51,200,default,application,rate,rate-67cf45b856-kztxm,minikube,2428,2428,0,25,22,-4,22769.71,9929.51,False
2025-12-30 15:10:51,200,default,application,profile,profile-57fd7778d8-fjq4q,minikube,172,172,0,11,9,0,137.25,106.7,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,23,23,0,60,58,0,0.0,0.0,False
2025-12-30 15:10:51,200,default,application,mongodb-user,mongodb-user-cbdc74bcf-k9wsb,minikube,5,5,0,154,57,0,0.05,0.07,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,5,5,0,28,26,0,0.0,0.0,False
2025-12-30 15:10:51,200,default,application,mongodb-reservation,mongodb-reservation-c6678789f-vdkvv,minikube,8,8,0,160,63,0,1.08,0.41,False
2025-12-30 15:10:51,200,default,application,mongodb-rate,mongodb-rate-54cbf47d58-fptkm,minikube,5,5,0,154,58,0,0.08,0.1,False
2025-12-30 15:10:51,200,default,application,mongodb-geo,mongodb-geo-58fc9c7df9-j9lcf,minikube,5,5,0,152,55,0,0.05,0.07,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,15,15,0,30,28,0,0.0,0.0,False
2025-12-30 15:10:51,200,default,application,geo,geo-6b57ccf698-w6r2d,minikube,123,123,0,9,8,0,33.36,30.45,False
2025-12-30 15:10:51,200,default,application,reservation,reservation-bcb65fb69-44czs,minikube,8985,8985,0,67,60,10,25808.1,12969.8,False
2025-12-30 15:10:51,200,default,application,memcached-rate,memcached-rate-74c578dc4-7pnmz,minikube,27,27,0,9,7,0,17.13,21534.14,False
2025-12-30 15:10:51,200,default,application,user,user-7f565c9c7c-p46gb,minikube,2,2,0,9,7,0,0.97,0.56,False
2025-12-30 15:10:51,200,kube-system,kubernetes-system,storage-provisioner,storage-provisioner,minikube,2,2,0,12,11,0,0.0,0.0,False
2025-12-30 15:10:51,200,default,application,frontend,frontend-5dbb448dd9-btxd9,minikube,561,561,0,22,19,0,640.67,649.84,False
