Timestamp,RPS,Namespace,Category,Service,Pod,Node,CPU_Total(m),CPU_App(m),CPU_Sidecar(m),Memory_WorkingSet(Mi),Memory_RSS(Mi),Memory_Delta(Mi),Net_RX(KB/s),Net_TX(KB/s),Istio_Enabled
2025-12-30 15:45:25,200,default,application,jaeger,jaeger-6cdfb69ff4-2tlqz,minikube,10,10,0,223,219,0,4.68,0.0,False
2025-12-30 15:45:25,200,default,application,geo,geo-6b57ccf698-w6r2d,minikube,122,122,0,10,8,0,34.36,31.41,False
2025-12-30 15:45:25,200,default,application,profile,profile-57fd7778d8-fjq4q,minikube,176,176,0,11,9,1,145.91,113.36,False
2025-12-30 15:45:25,200,default,application,frontend,frontend-5dbb448dd9-btxd9,minikube,565,565,0,22,20,0,690.15,699.8,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,107,107,0,272,269,8,0.0,0.0,False
2025-12-30 15:45:25,200,default,application,mongodb-profile,mongodb-profile-765644d5fc-89m5r,minikube,5,5,0,153,57,0,0.05,0.09,False
2025-12-30 15:45:25,200,default,application,mongodb-user,mongodb-user-cbdc74bcf-k9wsb,minikube,6,6,0,154,57,0,0.03,0.08,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,etcd-minikube,etcd-minikube,minikube,37,37,0,50,46,1,0.0,0.0,False
2025-12-30 15:45:25,200,default,application,mongodb-geo,mongodb-geo-58fc9c7df9-j9lcf,minikube,5,5,0,152,55,0,0.03,0.08,False
2025-12-30 15:45:25,200,default,application,consul,consul-6876d8dccd-5nq7c,minikube,16,16,0,34,31,0,0.03,0.03,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,14,14,0,30,28,0,0.0,0.0,False
2025-12-30 15:45:25,200,default,application,mongodb-recommendation,mongodb-recommendation-d6df4b4bc-j9tdz,minikube,6,6,0,152,55,0,0.03,0.07,False
2025-12-30 15:45:25,200,default,application,search,search-5b698f89cb-pdxhd,minikube,956,956,0,19,16,1,9547.58,538.89,False
2025-12-30 15:45:25,200,default,application,reservation,reservation-bcb65fb69-44czs,minikube,9012,9012,0,53,48,18,25893.47,13030.75,False
2025-12-30 15:45:25,200,default,application,memcached-reserve,memcached-reserve-64fbdcb78d-nzknl,minikube,802,802,0,215,210,-2,13229.88,25869.82,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,21,21,0,60,58,0,0.0,0.0,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,7,7,0,28,26,0,0.0,0.0,False
2025-12-30 15:45:25,200,default,application,mongodb-rate,mongodb-rate-54cbf47d58-fptkm,minikube,5,5,0,154,57,0,0.06,0.11,False
2025-12-30 15:45:25,200,default,application,rate,rate-67cf45b856-kztxm,minikube,2437,2437,0,29,24,-3,21707.74,9453.2,False
2025-12-30 15:45:25,200,default,application,memcached-rate,memcached-rate-74c578dc4-7pnmz,minikube,27,27,0,9,7,0,17.36,22065.66,False
2025-12-30 15:45:25,200,default,application,memcached-profile,memcached-profile-76476968b4-b7f9p,minikube,14,14,0,5,3,0,7.45,84.2,False
2025-12-30 15:45:25,200,default,application,mongodb-reservation,mongodb-reservation-c6678789f-vdkvv,minikube,8,8,0,163,66,1,1.23,0.44,False
2025-12-30 15:45:25,200,default,application,user,user-7f565c9c7c-p46gb,minikube,3,3,0,7,6,0,1.04,0.62,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,19,17,0,0.0,0.0,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,0,0,0,16,14,0,60.55,165.2,False
2025-12-30 15:45:25,200,default,application,recommendation,recommendation-68d8fd6486-zrjrp,minikube,65,65,0,9,8,0,23.24,20.4,False
2025-12-30 15:45:25,200,kube-system,kubernetes-system,storage-provisioner,storage-provisioner,minikube,3,3,0,12,11,0,0.0,0.0,False
2025-12-30 15:46:40,400,default,application,user,user-7f565c9c7c-p46gb,minikube,4,4,0,8,6,1,2.03,1.23,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,storage-provisioner,storage-provisioner,minikube,2,2,0,13,11,1,0.0,0.0,False
2025-12-30 15:46:40,400,default,application,mongodb-reservation,mongodb-reservation-c6678789f-vdkvv,minikube,9,9,0,163,66,0,1.96,0.67,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,kube,kube-apiserver-minikube,minikube,101,101,0,290,287,3,0.0,0.0,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,kube,kube-proxy-qqwmm,minikube,0,0,0,16,14,0,107.54,249.68,False
2025-12-30 15:46:40,400,default,application,frontend,frontend-5dbb448dd9-btxd9,minikube,769,769,0,25,22,0,1349.22,1375.88,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,kube,kube-scheduler-minikube,minikube,14,14,0,30,28,0,0.0,0.0,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,etcd-minikube,etcd-minikube,minikube,37,37,0,50,46,0,0.0,0.0,False
2025-12-30 15:46:40,400,default,application,memcached-profile,memcached-profile-76476968b4-b7f9p,minikube,20,20,0,5,3,0,14.92,172.7,False
2025-12-30 15:46:40,400,default,application,mongodb-recommendation,mongodb-recommendation-d6df4b4bc-j9tdz,minikube,5,5,0,152,55,0,0.04,0.07,False
2025-12-30 15:46:40,400,default,application,geo,geo-6b57ccf698-w6r2d,minikube,191,191,0,10,8,1,64.11,57.1,False
2025-12-30 15:46:40,400,default,application,mongodb-rate,mongodb-rate-54cbf47d58-fptkm,minikube,5,5,0,154,57,0,0.07,0.11,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,metrics-server,metrics-server-85b7d694d7-zgkzr,minikube,6,6,0,28,26,0,0.0,0.0,False
2025-12-30 15:46:40,400,default,application,consul,consul-6876d8dccd-5nq7c,minikube,14,14,0,32,29,0,0.04,0.03,False
2025-12-30 15:46:40,400,default,application,recommendation,recommendation-68d8fd6486-zrjrp,minikube,101,101,0,9,8,0,44.65,38.54,False
2025-12-30 15:46:40,400,default,application,search,search-5b698f89cb-pdxhd,minikube,1446,1446,0,17,15,-3,19892.94,1102.35,False
2025-12-30 15:46:40,400,default,application,mongodb-user,mongodb-user-cbdc74bcf-k9wsb,minikube,5,5,0,154,57,0,0.04,0.07,False
2025-12-30 15:46:40,400,default,application,reservation,reservation-bcb65fb69-44czs,minikube,16305,16305,0,96,88,56,53171.41,26816.88,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,coredns,coredns-66bc5c9577-cbts7,minikube,3,3,0,19,17,0,0.0,0.0,False
2025-12-30 15:46:40,400,kube-system,kubernetes-system,kube-controller,kube-controller-manager-minikube,minikube,23,23,0,60,58,0,0.0,0.0,False
2025-12-30 15:46:40,400,default,application,profile,profile-57fd7778d8-fjq4q,minikube,253,253,0,11,9,0,261.75,199.7,False
