Target_RPS,Actual_RPS,Mean_Latency,Stdev_Latency,Max_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,P99.9_Latency,Total_Requests,Socket_Errors,Non_2xx,Timeout_Errors,Error_Rate(%),Transfer_Rate
200,197.55,80.81ms,121.93ms,476.67ms,5.29ms,131.58ms,266.24ms,476.67ms,713.22ms,11853,56,0,56,0.4725,66.61KB
400,395.19,158.52ms,215.98ms,939.01ms,60.13ms,246.91ms,442.37ms,939.01ms,1.43s,23722,1,0,1,0.0042,132.79KB
600,558.59,2.26s,2.01s,8.95s,1.76s,3.11s,5.05s,8.95s,10.96s,33528,0,0,0,0.0,190.06KB
700,566.55,6.26s,3.86s,16.96s,5.94s,8.61s,11.58s,16.96s,19.69s,34007,0,0,0,0.0,192.03KB
800,575.32,9.29s,4.87s,22.10s,8.81s,12.53s,16.06s,22.10s,24.77s,34543,0,0,0,0.0,195.17KB
1000,572.63,14.33s,6.55s,28.31s,13.75s,19.22s,23.79s,28.31s,32.41s,34374,0,0,0,0.0,194.17KB
200,198.13,79.28ms,119.60ms,463.87ms,5.20ms,130.49ms,264.45ms,463.87ms,647.68ms,11893,44,0,44,0.37,66.69KB
400,396.87,163.98ms,230.65ms,1.04s,61.63ms,252.29ms,456.19ms,1.04s,1.65s,23818,0,0,0,0.0,133.56KB
600,555.27,2.48s,2.34s,10.01s,1.80s,3.59s,5.82s,10.01s,12.25s,33321,0,0,0,0.0,188.32KB
700,575.45,5.79s,3.92s,16.88s,5.10s,8.02s,11.49s,16.88s,19.22s,34545,0,0,0,0.0,196.52KB
800,584.96,8.90s,4.79s,20.63s,8.39s,12.24s,15.67s,20.63s,23.12s,35116,0,0,0,0.0,199.16KB
1000,607.53,12.58s,6.22s,25.99s,11.93s,17.43s,21.54s,25.99s,28.13s,36472,0,1218,0,3.3395,210.54KB
200,198.23,78.20ms,119.12ms,467.71ms,5.14ms,127.29ms,258.30ms,467.71ms,653.82ms,11899,45,0,45,0.3782,66.57KB
400,397.07,168.69ms,235.92ms,1.08s,69.63ms,255.74ms,465.41ms,1.08s,1.64s,23827,0,0,0,0.0,134.38KB
600,560.51,2.41s,2.24s,10.41s,1.78s,3.47s,5.46s,10.41s,12.63s,33641,0,0,0,0.0,190.96KB
700,577.06,5.69s,3.96s,17.14s,5.07s,8.20s,11.14s,17.14s,21.28s,34640,0,0,0,0.0,196.39KB
800,573.21,9.66s,4.89s,21.28s,9.20s,13.15s,16.56s,21.28s,23.15s,34394,0,0,0,0.0,193.88KB
1000,573.9,14.37s,6.53s,29.39s,14.18s,19.35s,22.94s,29.39s,32.29s,34436,0,0,0,0.0,195.52KB
