,,CPU_Total(m),CPU_Total(m),Memory_WorkingSet(Mi),Memory_WorkingSet(Mi),Net_RX(KB/s),Net_RX(KB/s),Net_TX(KB/s),Net_TX(KB/s)
,,mean,std,mean,std,mean,std,mean,std
RPS,Service,,,,,,,,
200,consul,16.67,1.15,33.67,1.53,0.05,0.02,0.05,0.04
200,coredns,3.33,0.58,19.0,0.0,0.0,0.0,0.0,0.0
200,etcd-minikube,37.33,0.58,50.0,0.0,0.0,0.0,0.0,0.0
200,frontend,564.67,0.58,23.0,1.0,661.52,34.25,670.11,35.1
200,geo,122.33,0.58,9.33,0.58,34.42,0.64,31.44,0.52
200,jaeger,16.0,11.27,240.0,16.52,4.41,0.78,0.0,0.0
200,kube,38.89,48.06,108.22,128.03,19.59,29.39,54.02,81.05
200,kube-controller,21.67,1.15,60.67,1.15,0.0,0.0,0.0,0.0
200,memcached-profile,13.67,0.58,5.0,0.0,7.47,0.03,85.22,0.91
200,memcached-rate,26.33,0.58,9.0,0.0,17.23,0.13,21572.05,556.26
200,memcached-reserve,799.0,2.65,218.0,3.0,12960.02,269.78,25369.35,544.06
200,metrics-server,6.67,0.58,28.0,0.0,0.0,0.0,0.0,0.0
200,mongodb-geo,5.33,0.58,152.0,0.0,0.04,0.01,0.07,0.01
200,mongodb-profile,5.33,0.58,153.0,0.0,0.06,0.01,0.09,0.0
200,mongodb-rate,5.33,0.58,154.0,0.0,0.07,0.01,0.11,0.01
200,mongodb-recommendation,5.67,0.58,152.0,0.0,0.04,0.01,0.07,0.0
200,mongodb-reservation,8.33,0.58,163.67,0.58,1.28,0.22,0.46,0.07
200,mongodb-user,5.67,0.58,154.0,0.0,0.04,0.01,0.07,0.01
200,profile,176.33,0.58,11.0,0.0,143.29,2.81,111.18,2.28
200,rate,2379.0,54.84,27.67,1.53,21380.82,459.9,9321.91,204.62
200,recommendation,65.0,1.0,9.0,0.0,23.29,0.14,20.42,0.16
200,reservation,8937.67,82.44,56.67,3.21,26179.8,276.27,13158.87,129.36
200,search,938.67,17.5,17.67,1.53,9541.78,201.04,536.78,11.41
200,storage-provisioner,2.33,0.58,12.0,0.0,0.0,0.0,0.0,0.0
200,user,2.67,0.58,8.33,1.15,0.97,0.1,0.58,0.05
400,consul,14.0,1.0,33.67,1.53,0.04,0.01,0.04,0.02
400,coredns,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
400,etcd-minikube,36.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0
400,frontend,766.33,5.51,25.0,1.0,1315.74,29.42,1341.31,30.24
400,geo,189.0,3.46,9.67,0.58,62.63,1.29,55.75,1.18
400,jaeger,15.0,6.93,240.33,17.01,8.3,0.26,0.0,0.0
400,kube,39.33,49.1,109.67,130.18,36.58,54.91,85.04,127.64
400,kube-controller,21.33,1.53,61.0,1.73,0.0,0.0,0.0,0.0
400,memcached-profile,19.67,0.58,5.0,0.0,14.57,0.38,168.93,5.39
400,memcached-rate,45.33,0.58,9.0,0.0,34.19,0.95,44588.8,1185.74
400,memcached-reserve,1457.0,4.58,219.33,2.52,26988.11,178.95,52757.18,259.07
400,metrics-server,5.67,0.58,28.0,0.0,0.0,0.0,0.0,0.0
400,mongodb-geo,5.0,0.0,152.0,0.0,0.04,0.0,0.07,0.0
400,mongodb-profile,5.0,0.0,153.0,0.0,0.07,0.01,0.09,0.01
400,mongodb-rate,5.0,0.0,154.0,0.0,0.07,0.01,0.11,0.01
400,mongodb-recommendation,5.0,0.0,152.0,0.0,0.04,0.0,0.07,0.0
400,mongodb-reservation,8.33,0.58,163.67,0.58,1.92,0.22,0.66,0.07
400,mongodb-user,5.0,0.0,154.0,0.0,0.04,0.01,0.07,0.01
